stem,issue
00000205,"depth_not_single_channel_shape_(360, 640, 3)"
00000207,depth_is_jpeg
00000207,depth_dtype_uint8
00000207,"depth_not_single_channel_shape_(360, 640, 3)"
00000212,depth_is_jpeg
00000212,depth_dtype_uint8
00000212,"depth_not_single_channel_shape_(360, 640, 3)"
00000214,depth_is_jpeg
00000214,depth_dtype_uint8
00000214,"depth_not_single_channel_shape_(360, 640, 3)"
00000216,depth_is_jpeg
00000216,depth_dtype_uint8
00000216,"depth_not_single_channel_shape_(360, 640, 3)"
00000220,depth_is_jpeg
00000220,depth_dtype_uint8
00000220,"depth_not_single_channel_shape_(360, 640, 3)"
00000221,depth_is_jpeg
00000221,depth_dtype_uint8
00000221,"depth_not_single_channel_shape_(360, 640, 3)"
000224,bbox_cross_image_boundary_line_1
00000225,depth_is_jpeg
00000225,depth_dtype_uint8
00000225,"depth_not_single_channel_shape_(360, 640, 3)"
00000228,depth_is_jpeg
00000228,depth_dtype_uint8
00000228,"depth_not_single_channel_shape_(360, 640, 3)"
00000230,depth_is_jpeg
00000230,depth_dtype_uint8
00000230,"depth_not_single_channel_shape_(360, 640, 3)"
00000234,depth_is_jpeg
00000234,depth_dtype_uint8
00000234,"depth_not_single_channel_shape_(360, 640, 3)"
00000239,depth_is_jpeg
00000239,depth_dtype_uint8
00000239,"depth_not_single_channel_shape_(360, 640, 3)"
00000241,depth_is_jpeg
00000241,depth_dtype_uint8
00000241,"depth_not_single_channel_shape_(360, 640, 3)"
00000243,depth_is_jpeg
00000243,depth_dtype_uint8
00000243,"depth_not_single_channel_shape_(360, 640, 3)"
00000244,depth_is_jpeg
00000244,depth_dtype_uint8
00000244,"depth_not_single_channel_shape_(360, 640, 3)"
00000248,depth_is_jpeg
00000248,depth_dtype_uint8
00000248,"depth_not_single_channel_shape_(360, 640, 3)"
00000253,depth_is_jpeg
00000253,depth_dtype_uint8
00000253,"depth_not_single_channel_shape_(360, 640, 3)"
00000257,depth_is_jpeg
00000257,depth_dtype_uint8
00000257,"depth_not_single_channel_shape_(360, 640, 3)"
00000271,depth_is_jpeg
00000271,depth_dtype_uint8
00000271,"depth_not_single_channel_shape_(360, 640, 3)"
00000273,depth_is_jpeg
00000273,depth_dtype_uint8
00000273,"depth_not_single_channel_shape_(360, 640, 3)"
00000275,depth_is_jpeg
00000275,depth_dtype_uint8
00000275,"depth_not_single_channel_shape_(360, 640, 3)"
00000282,depth_is_jpeg
00000282,depth_dtype_uint8
00000282,"depth_not_single_channel_shape_(360, 640, 3)"
00000291,depth_is_jpeg
00000291,depth_dtype_uint8
00000291,"depth_not_single_channel_shape_(360, 640, 3)"
00000293,depth_is_jpeg
00000293,depth_dtype_uint8
00000293,"depth_not_single_channel_shape_(360, 640, 3)"
00000321,depth_is_jpeg
00000321,depth_dtype_uint8
00000321,"depth_not_single_channel_shape_(360, 640, 3)"
00000332,depth_is_jpeg
00000332,depth_dtype_uint8
00000332,"depth_not_single_channel_shape_(360, 640, 3)"
00000333,depth_is_jpeg
00000333,depth_dtype_uint8
00000333,"depth_not_single_channel_shape_(360, 640, 3)"
00000339,depth_is_jpeg
00000339,depth_dtype_uint8
00000339,"depth_not_single_channel_shape_(360, 640, 3)"
00000344,depth_is_jpeg
00000344,depth_dtype_uint8
00000344,"depth_not_single_channel_shape_(360, 640, 3)"
00000346,depth_is_jpeg
00000346,depth_dtype_uint8
00000346,"depth_not_single_channel_shape_(360, 640, 3)"
00000355,depth_is_jpeg
00000355,depth_dtype_uint8
00000355,"depth_not_single_channel_shape_(360, 640, 3)"
00000364,depth_is_jpeg
00000364,depth_dtype_uint8
00000364,"depth_not_single_channel_shape_(360, 640, 3)"
00000367,depth_is_jpeg
00000367,depth_dtype_uint8
00000367,"depth_not_single_channel_shape_(360, 640, 3)"
00000371,depth_is_jpeg
00000371,depth_dtype_uint8
00000371,"depth_not_single_channel_shape_(360, 640, 3)"
00000373,depth_is_jpeg
00000373,depth_dtype_uint8
00000373,"depth_not_single_channel_shape_(360, 640, 3)"
00000376,depth_is_jpeg
00000376,depth_dtype_uint8
00000376,"depth_not_single_channel_shape_(360, 640, 3)"
00000394,depth_is_jpeg
00000394,depth_dtype_uint8
00000394,"depth_not_single_channel_shape_(360, 640, 3)"
00000396,depth_is_jpeg
00000396,depth_dtype_uint8
00000396,"depth_not_single_channel_shape_(360, 640, 3)"
00000399,depth_is_jpeg
00000399,depth_dtype_uint8
00000399,"depth_not_single_channel_shape_(360, 640, 3)"
00000401,depth_is_jpeg
00000401,depth_dtype_uint8
00000401,"depth_not_single_channel_shape_(360, 640, 3)"
00000410,depth_is_jpeg
00000410,depth_dtype_uint8
00000410,"depth_not_single_channel_shape_(360, 640, 3)"
00000414,depth_is_jpeg
00000414,depth_dtype_uint8
00000414,"depth_not_single_channel_shape_(360, 640, 3)"
00000415,depth_is_jpeg
00000415,depth_dtype_uint8
00000415,"depth_not_single_channel_shape_(360, 640, 3)"
00000417,depth_is_jpeg
00000417,depth_dtype_uint8
00000417,"depth_not_single_channel_shape_(360, 640, 3)"
00000419,depth_is_jpeg
00000419,depth_dtype_uint8
00000419,"depth_not_single_channel_shape_(360, 640, 3)"
00000423,depth_is_jpeg
00000423,depth_dtype_uint8
00000423,"depth_not_single_channel_shape_(360, 640, 3)"
00000426,depth_is_jpeg
00000426,depth_dtype_uint8
00000426,"depth_not_single_channel_shape_(360, 640, 3)"
00000433,depth_is_jpeg
00000433,depth_dtype_uint8
00000433,"depth_not_single_channel_shape_(360, 640, 3)"
00000435,depth_is_jpeg
00000435,depth_dtype_uint8
00000435,"depth_not_single_channel_shape_(360, 640, 3)"
000437,bbox_cross_image_boundary_line_11
000437,bbox_cross_image_boundary_line_12
00000440,depth_is_jpeg
00000440,depth_dtype_uint8
00000440,"depth_not_single_channel_shape_(360, 640, 3)"
00000446,depth_is_jpeg
00000446,depth_dtype_uint8
00000446,"depth_not_single_channel_shape_(360, 640, 3)"
00000447,depth_is_jpeg
00000447,depth_dtype_uint8
00000447,"depth_not_single_channel_shape_(360, 640, 3)"
00000460,depth_is_jpeg
00000460,depth_dtype_uint8
00000460,"depth_not_single_channel_shape_(360, 640, 3)"
00000462,depth_is_jpeg
00000462,depth_dtype_uint8
00000462,"depth_not_single_channel_shape_(360, 640, 3)"
00000467,depth_is_jpeg
00000467,depth_dtype_uint8
00000467,"depth_not_single_channel_shape_(360, 640, 3)"
00000480,depth_is_jpeg
00000480,depth_dtype_uint8
00000480,"depth_not_single_channel_shape_(360, 640, 3)"
00000481,depth_is_jpeg
00000481,depth_dtype_uint8
00000481,"depth_not_single_channel_shape_(360, 640, 3)"
00000485,depth_is_jpeg
00000485,depth_dtype_uint8
00000485,"depth_not_single_channel_shape_(360, 640, 3)"
00000488,depth_is_jpeg
00000488,depth_dtype_uint8
00000488,"depth_not_single_channel_shape_(360, 640, 3)"
00000490,depth_is_jpeg
00000490,depth_dtype_uint8
00000490,"depth_not_single_channel_shape_(360, 640, 3)"
00000497,depth_is_jpeg
00000497,depth_dtype_uint8
00000497,"depth_not_single_channel_shape_(360, 640, 3)"
00000499,depth_is_jpeg
00000499,depth_dtype_uint8
00000499,"depth_not_single_channel_shape_(360, 640, 3)"
00000501,depth_is_jpeg
00000501,depth_dtype_uint8
00000501,"depth_not_single_channel_shape_(360, 640, 3)"
00000506,depth_is_jpeg
00000506,depth_dtype_uint8
00000506,"depth_not_single_channel_shape_(360, 640, 3)"
00000508,depth_is_jpeg
00000508,depth_dtype_uint8
00000508,"depth_not_single_channel_shape_(360, 640, 3)"
00000510,depth_is_jpeg
00000510,depth_dtype_uint8
00000510,"depth_not_single_channel_shape_(360, 640, 3)"
00000512,depth_is_jpeg
00000512,depth_dtype_uint8
00000512,"depth_not_single_channel_shape_(360, 640, 3)"
00000515,depth_is_jpeg
00000515,depth_dtype_uint8
00000515,"depth_not_single_channel_shape_(360, 640, 3)"
00000519,depth_is_jpeg
00000519,depth_dtype_uint8
